x_N2_train,y_N2_train,x_N2_valid,y_N2_valid,x_H2_2.5,y_H2_2.5,x_H2_10,y_H2_10
4.426391369970528e-11,21671783.605228424,8.722053638887271e-11,14395414.056807518,-5.17171812902436e-11,9968287.648714751,-3.942176652265614e-11,6277890.755824029
4.616792954291158e-11,56681637.16167545,8.818898235702209e-11,18728395.443945885,-3.3823335346928285e-11,28060083.78585553,-3.036472886770384e-11,12168307.209577441
4.807194538611788e-11,138215471.61257362,8.915742832517147e-11,28173829.700366974,-1.5929489403612976e-11,71925736.97234532,-2.1307691212751542e-11,23282718.015070736
4.9975961229324186e-11,307940874.0219374,9.012587429332084e-11,44192274.77110863,1.964356539702333e-12,166756046.91483653,-1.2250653557799241e-11,43090609.01044083
5.1879977072530485e-11,625942886.3335805,9.109432026147022e-11,68947912.64633274,1.985820248301765e-11,349696159.53361267,-3.193615902846943e-12,76762594.90182471
5.3783992915736783e-11,1162000186.0577044,9.206276622961961e-11,105225468.58243752,3.7752048426332964e-11,663875926.1539991,5.863421752105355e-12,131485854.42337102
5.568800875894308e-11,1973520174.5475197,9.303121219776899e-11,156265110.39712334,5.5645894369648266e-11,1142235551.9742942,1.492045940705766e-11,216532670.15244102
5.759202460214938e-11,3074157503.844988,9.399965816591836e-11,225490701.48353767,7.353974031296358e-11,1783584593.461008,2.3977497062009957e-11,342878874.7121451
5.949604044535569e-11,4407871038.163393,9.496810413406774e-11,316127045.66077137,9.14335862562789e-11,2531884023.172334,3.3034534716962255e-11,522183787.79597455
6.140005628856198e-11,5848473423.30666,9.593655010221712e-11,430732640.062768,1.0932743219959421e-10,3274508367.0069914,4.209157237191455e-11,765039341.4506648
6.330407213176828e-11,7235768125.5092745,9.69049960703665e-11,570709927.9859295,1.2722127814290954e-10,3869061724.51573,5.114861002686685e-11,1078582743.5758514
6.520808797497459e-11,8436772078.483791,9.787344203851587e-11,735885366.976409,1.4511512408622486e-10,4191591911.1392207,6.020564768181915e-11,1463816803.4967096
6.711210381818088e-11,9398898986.970007,9.884188800666526e-11,924265505.9620676,1.6300897002954012e-10,4182942877.767169,6.926268533677146e-11,1913224582.5106611
6.901611966138719e-11,10160685786.544243,9.981033397481464e-11,1132063654.368907,1.8090281597285544e-10,3868307325.9975204,7.831972299172374e-11,2409400660.8536935
7.092013550459348e-11,10810776847.501041,1.0077877994296402e-10,1354052073.3287067,1.9879666191617075e-10,3340831625.6987495,8.737676064667605e-11,2925356364.9898567
7.282415134779978e-11,11421061137.26678,1.0174722591111339e-10,1584233730.7481985,2.1669050785948607e-10,2721485519.600864,9.643379830162834e-11,3426849567.2993846
7.472816719100608e-11,11997916747.29271,1.0271567187926277e-10,1816761395.8924217,2.345843538028014e-10,2118240726.259891,1.0549083595658065e-10,3876588575.0829797
7.663218303421238e-11,12481997810.594944,1.0368411784741215e-10,2046980808.4657388,2.524781997461167e-10,1602108608.6423292,1.1454787361153296e-10,4239603331.480906
7.853619887741869e-11,12792881561.93722,1.0465256381556152e-10,2272456750.4052033,2.70372045689432e-10,1203520785.915187,1.2360491126648525e-10,4488655949.3789425
8.044021472062498e-11,12886445125.78553,1.056210097837109e-10,2493863294.686029,2.8826589163274733e-10,921732213.7814276,1.3266194892143756e-10,4608444632.431665
8.234423056383128e-11,12789356465.408558,1.0658945575186028e-10,2715673748.9662237,3.0615973757606264e-10,737802661.3226831,1.4171898657638984e-10,4597611473.552653
8.424824640703759e-11,12595133832.863047,1.0755790172000966e-10,2946648251.8080034,3.2405358351937796e-10,625497613.8669397,1.5077602423134215e-10,4468130132.146549
8.615226225024388e-11,12432115930.587662,1.0852634768815905e-10,3200156412.5999093,3.4194742946269327e-10,558700678.7383533,1.5983306188629444e-10,4242340567.416072
8.805627809345017e-11,12426732315.021812,1.0949479365630842e-10,3494362320.8242097,3.598412754060086e-10,515832792.8217876,1.6889009954124675e-10,3948484383.5607185
8.996029393665648e-11,12679344492.790075,1.104632396244578e-10,3852230857.108324,3.7773512134932385e-10,481877086.9130136,1.7794713719619906e-10,3615890118.7483177
9.186430977986279e-11,13253361538.86656,1.1143168559260718e-10,4301204738.096843,3.9562896729263917e-10,448451811.6471406,1.8700417485115134e-10,3270892081.9947205
9.376832562306908e-11,14166808808.63276,1.1240013156075655e-10,4872293938.367597,4.135228132359545e-10,412540622.32693404,1.9606121250610363e-10,2934201448.583194
9.567234146627538e-11,15378426560.827621,1.1336857752890594e-10,5598270577.187236,4.314166591792698e-10,374639230.5298602,2.0511825016105596e-10,2619942268.2518616
9.757635730948169e-11,16773452606.157791,1.1433702349705532e-10,6510725920.382832,4.493105051225851e-10,336929313.21950233,2.1417528781600825e-10,2336100171.9189224
9.948037315268798e-11,18163989252.79677,1.153054694652047e-10,7635947745.633215,4.672043510659004e-10,301818411.63529414,2.2323232547096053e-10,2085844138.1616058
1.0138438899589429e-10,19315137266.050735,1.1627391543335408e-10,8989897224.915804,4.850981970092157e-10,271020125.5577322,2.3228936312591282e-10,1869121232.9474669
1.0328840483910058e-10,19993433977.54573,1.1724236140150345e-10,10572935907.895914,5.029920429525311e-10,245249259.479064,2.4134640078086516e-10,1684053679.6044364
1.0519242068230688e-10,20020901671.254066,1.1821080736965283e-10,12365268250.537981,5.208858888958464e-10,224436342.93243086,2.5040343843581744e-10,1527895644.8480659
1.0709643652551319e-10,19316248162.98287,1.191792533378022e-10,14324206565.211044,5.387797348391617e-10,208176648.32689103,2.5946047609076973e-10,1397533095.5897026
1.0900045236871948e-10,17913107913.74215,1.2014769930595158e-10,16384245175.970932,5.56673580782477e-10,196093527.4780419,2.6851751374572206e-10,1289661357.499856
1.1090446821192579e-10,15954157527.241966,1.2111614527410096e-10,18460525840.15606,5.745674267257923e-10,187956743.08328217,2.7757455140067435e-10,1200824831.825122
1.1280848405513208e-10,13663419095.164707,1.2208459124225034e-10,20455648872.495792,5.924612726691076e-10,183605012.86136067,2.8663158905562663e-10,1127467745.3167322
1.1471249989833838e-10,11300429200.533257,1.2305303721039972e-10,22269073470.439995,6.10355118612423e-10,182816266.44291836,2.956886267105789e-10,1066065228.4188488
1.166165157415447e-10,9105087376.826887,1.2402148317854912e-10,23807738565.89418,6.282489645557383e-10,185231708.23545468,3.0474566436553125e-10,1013325306.95456
1.1852053158475098e-10,7249218899.195583,1.2498992914669847e-10,24996192421.88919,6.461428104990536e-10,190362937.32962614,3.1380270202048354e-10,966405392.8316
1.204245474279573e-10,5811712826.864132,1.2595837511484787e-10,25784548782.557938,6.640366564423689e-10,197661048.57207894,3.228597396754358e-10,923080541.9815612
1.2232856327116357e-10,4784115618.678494,1.2692682108299722e-10,26152991325.02113,6.819305023856842e-10,206600429.86778224,3.3191677733038816e-10,881824716.237143
1.2423257911436988e-10,4098934027.797538,1.2789526705114663e-10,26112224231.338924,6.998243483289995e-10,216731036.80897355,3.4097381498534045e-10,841800402.0739204
1.261365949575762e-10,3664372154.9452558,1.28863713019296e-10,25700041476.48201,7.177181942723148e-10,227707394.30737793,3.5003085264029273e-10,802777703.5983298
1.2804061080078247e-10,3391550768.191842,1.2983215898744538e-10,24974871249.12921,7.356120402156302e-10,239363572.05261576,3.59087890295245e-10,765012525.8734939
1.299446266439888e-10,3209029554.246044,1.3080060495559476e-10,24007595534.06906,7.535058861589455e-10,251846963.37627923,3.6814492795019735e-10,729107029.9782745
1.3184864248719508e-10,3066979777.606079,1.3176905092374413e-10,22873077747.71952,7.713997321022608e-10,265644028.18478167,3.7720196560514964e-10,695863605.43338
1.3375265833040137e-10,2935694291.107767,1.327374968918935e-10,21642670230.556076,7.892935780455761e-10,281253932.88355744,3.862590032601019e-10,666135913.2992134
1.356566741736077e-10,2801675440.0169854,1.337059428600429e-10,20378602722.26828,8.071874239888913e-10,298508097.3181124,3.9531604091505426e-10,640681659.0605334
1.3756069001681398e-10,2662691492.8556085,1.3467438882819227e-10,19130688210.46082,8.250812699322066e-10,315959522.24494517,4.0437307857000654e-10,620029395.5233166
1.3946470586002028e-10,2522674602.3097563,1.3564283479634164e-10,17935333358.910316,8.42975115875522e-10,330935002.96831155,4.1343011622495883e-10,604379132.9395082
1.413687217032266e-10,2387546699.9429674,1.3661128076449102e-10,16816485662.458149,8.608689618188373e-10,340473387.2218636,4.224871538799111e-10,593557142.1393037
1.4327273754643289e-10,2262771795.8149395,1.375797267326404e-10,15787927835.60191,8.787628077621526e-10,342697089.81930345,4.315441915348634e-10,587036207.5823543
1.4517675338963918e-10,2152430292.930423,1.3854817270078977e-10,14856247147.52303,8.96656653705468e-10,337762378.2570506,4.406012291898157e-10,584016099.8487921
1.470807692328455e-10,2058764944.1727934,1.3951661866893915e-10,14023846458.032307,9.145504996487832e-10,327790622.2343516,4.4965826684476807e-10,583541517.3034315
1.489847850760518e-10,1981312004.7016664,1.4048506463708855e-10,13291495383.356903,9.324443455920987e-10,315905317.8759773,4.5871530449972036e-10,584623490.7061994
1.5088880091925808e-10,1915800080.741327,1.414535106052379e-10,12660108750.687744,9.50338191535414e-10,305079425.9946698,4.677723421546726e-10,586330399.4819683
1.527928167624644e-10,1853980624.830672,1.424219565733873e-10,12131645984.751738,9.682320374787294e-10,297463242.8741661,4.768293798096249e-10,587827267.7327672
1.5469683260567067e-10,1785463798.647295,1.4339040254153666e-10,11709209296.648058,9.861258834220446e-10,294299694.6440308,4.858864174645772e-10,588363203.9028246
1.5660084844887698e-10,1701381651.5658207,1.4435884850968606e-10,11396545771.049946,1.00401972936536e-09,295984397.92389214,4.949434551195295e-10,587229462.5236175
1.585048642920833e-10,1598216447.6936126,1.4532729447783544e-10,11197207640.168087,1.0219135753086752e-09,301799887.1148797,5.040004927744818e-10,583726028.6762004
1.6040888013528957e-10,1479632320.2291942,1.4629574044598482e-10,11113596260.712803,1.0398074212519906e-09,309375935.3082967,5.130575304294342e-10,577175760.4255946
1.6231289597849589e-10,1355148860.6027832,1.472641864141342e-10,11146031652.784065,1.0577012671953058e-09,314508134.6320283,5.221145680843865e-10,567009248.6790797
1.642169118217022e-10,1236357331.845728,1.4823263238228357e-10,11291890845.50322,1.0755951131386213e-09,311998103.1438933,5.311716057393387e-10,552914217.942061
1.6612092766490847e-10,1132771449.917307,1.4920107835043295e-10,11544788270.705421,1.0934889590819365e-09,297506344.2935089,5.40228643394291e-10,535010196.2603499
1.680249435081148e-10,1049344734.066329,1.5016952431858233e-10,11893761476.73428,1.1113828050252517e-09,269544254.10126257,5.492856810492433e-10,513985400.14316
1.699289593513211e-10,986341749.4536648,1.511379702867317e-10,12322482453.434414,1.129276650968567e-09,230428345.9595391,5.583427187041956e-10,491129797.3562283
1.7183297519452737e-10,940765556.1387987,1.5210641625488108e-10,12808617465.43258,1.1471704969118823e-09,185574731.81701493,5.673997563591479e-10,468220737.1109834
1.737369910377337e-10,908021633.2619901,1.5307486222303046e-10,13323563154.811058,1.1650643428551977e-09,141502710.3714993,5.764567940141003e-10,447260047.8828914
1.7564100688093996e-10,883079045.4274535,1.5404330819117983e-10,13832843341.568068,1.182958188798513e-09,103611815.7732057,5.855138316690526e-10,430109958.6614881
1.7754502272414628e-10,861277278.0359974,1.5501175415932924e-10,14297420025.142206,1.2008520347418284e-09,74773864.30014992,5.945708693240048e-10,418111973.73913705
1.794490385673526e-10,839242428.9847612,1.559802001274786e-10,14676040555.404928,1.2187458806851436e-09,55177427.181860805,6.036279069789571e-10,411784119.2211659
1.8135305441055886e-10,815932734.2738528,1.56948646095628e-10,14928531235.949757,1.236639726628459e-09,43158217.77289057,6.126849446339094e-10,410673631.85665005
1.8325707025376518e-10,793182029.9373689,1.5791709206377734e-10,15019705773.974354,1.2545335725717742e-09,36373598.1266191,6.217419822888617e-10,413401204.4074158
1.851610860969715e-10,774975125.3800154,1.5888553803192674e-10,14923350709.923296,1.2724274185150896e-09,32743750.758665323,6.30799019943814e-10,417884092.0641756
1.8706510194017776e-10,765348709.1923523,1.598539840000761e-10,14625640993.417725,1.2903212644584048e-09,30895734.711337566,6.398560575987664e-10,421684656.7268872
1.8896911778338408e-10,765853861.568861,1.608224299682255e-10,14127365931.60934,1.3082151104017203e-09,30146251.88261962,6.489130952537186e-10,422409055.2199794
1.908731336265904e-10,774110232.635189,1.6179087593637488e-10,13444512195.672802,1.3261089563450355e-09,30216829.279220343,6.579701329086709e-10,418080173.2215295
1.9277714946979667e-10,784515717.3832026,1.6275932190452425e-10,12607022859.084082,1.3440028022883509e-09,30911165.108431578,6.670271705636232e-10,407424587.05841136
1.9468116531300299e-10,790835698.6234026,1.6372776787267363e-10,11655868443.907394,1.361896648231666e-09,31942567.234633923,6.760842082185755e-10,390036880.2129922
1.965851811562093e-10,789142153.9769716,1.64696213840823e-10,10638856135.522137,1.3797904941749815e-09,32984024.659434795,6.851412458735278e-10,366408576.25118494
1.9848919699941557e-10,779379233.9848166,1.6566465980897238e-10,9605804006.28461,1.3976843401182967e-09,33849719.21176064,6.941982835284801e-10,337829235.40181017
2.003932128426219e-10,764822061.5128536,1.6663310577712176e-10,8603780016.98295,1.4155781860616121e-09,34608598.01761043,7.032553211834325e-10,306183063.9626403
2.022972286858282e-10,750038082.3625231,1.6760155174527114e-10,7673044696.414183,1.4334720320049274e-09,35490452.65491265,7.123123588383847e-10,273676081.4850197
2.0420124452903447e-10,738658377.1646795,1.6856999771342052e-10,6844166438.701592,1.4513658779482428e-09,36651149.523445606,7.21369396493337e-10,242536184.61501598
2.061052603722408e-10,732021808.5113144,1.6953844368156992e-10,6136545498.4886465,1.469259723891558e-09,38028825.865356326,7.304264341482893e-10,214730020.01253653
2.080092762154471e-10,729048135.3015738,1.7050688964971927e-10,5558341011.745882,1.4871535698348734e-09,39460590.75573611,7.394834718032416e-10,191735315.35429
2.0991329205865338e-10,727134962.2922497,1.7147533561786867e-10,5107592614.631296,1.5050474157781886e-09,40967506.379142284,7.485405094581939e-10,174395871.77343273
2.118173079018597e-10,723623443.9708805,1.7244378158601802e-10,4774195799.035032,1.522941261721504e-09,42905792.79527399,7.575975471131462e-10,162871672.05707645
2.1372132374506596e-10,717250378.9501209,1.7341222755416743e-10,4542338194.088553,1.5408351076648193e-09,45755666.65171531,7.666545847680986e-10,156682410.982028
2.1562533958827228e-10,708924587.9211149,1.7438067352231678e-10,4393023266.09294,1.5587289536081347e-09,49638739.7828508,7.757116224230508e-10,154832083.8936112
2.175293554314786e-10,701337404.152255,1.7534911949046618e-10,4306376599.900647,1.5766227995514499e-09,53935534.43133944,7.847686600780031e-10,155995518.0678618
2.1943337127468486e-10,697482572.4575014,1.7631756545861556e-10,4263522354.347072,1.5945166454947653e-09,57356551.168652624,7.938256977329554e-10,158743197.4017458
2.2133738711789118e-10,698847047.1909351,1.7728601142676494e-10,4247912225.831756,1.6124104914380805e-09,58507925.55412346,8.028827353879077e-10,161776382.3097669
2.232414029610975e-10,704307532.474617,1.782544573949143e-10,4246073341.1951065,1.630304337381396e-09,56634842.40479326,8.1193977304286e-10,164140043.09261668
2.2514541880430377e-10,710357833.1164017,1.792229033630637e-10,4247810334.443733,1.6481981833247111e-09,52091026.204844356,8.209968106978123e-10,165378704.8773582
2.2704943464751009e-10,712488695.5278778,1.8019134933121307e-10,4245950732.524124,1.6660920292680264e-09,46253145.386369586,8.300538483527647e-10,165603591.9127196
2.289534504907164e-10,706943288.2216759,1.8115979529936244e-10,4235762452.5905113,1.6839858752113418e-09,40936642.328148514,8.391108860077169e-10,165451198.22312224
2.3085746633392267e-10,692064317.5030746,1.8212824126751182e-10,4214196160.3451424,1.701879721154657e-09,37641955.20991252,8.481679236626692e-10,165933214.41423237
2.32761482177129e-10,668909136.4116602,1.830966872356612e-10,4179109850.268568,1.7197735670979724e-09,37013178.87287845,8.572249613176215e-10,168201373.9668513
2.346654980203353e-10,641253063.2748718,1.8406513320381057e-10,4128615408.208805,1.7376674130412876e-09,38736304.519621536,8.662819989725738e-10,173271462.35032982
2.3656951386354157e-10,615138756.0674896,1.8503357917195995e-10,4060648333.006996,1.755561258984603e-09,41866371.870323226,8.753390366275261e-10,181761848.0974276
2.384735297067479e-10,597851891.2015805,1.8600202514010935e-10,3972809181.014765,1.7734551049279182e-09,45377594.12999046,8.843960742824784e-10,193699810.11135745
2.403775455499542e-10,596117826.50454,1.869704711082587e-10,3862469934.1881275,1.7913489508712337e-09,48648273.77495533,8.934531119374307e-10,208434459.13617986
2.422815613931605e-10,613785129.562882,1.879389170764081e-10,3727092111.6183224,1.8092427968145489e-09,51650274.052871466,9.025101495923829e-10,224672864.3960423
2.441855772363668e-10,649985897.5026083,1.8890736304455746e-10,3564673960.4904213,1.8271366427578643e-09,54791117.13031614,9.115671872473352e-10,240632399.1144969
2.4608959307957306e-10,698946761.1910713,1.8987580901270686e-10,3374233233.4252586,1.8450304887011797e-09,58561292.54563832,9.206242249022875e-10,254282574.33347976
2.479936089227794e-10,751830327.6779466,1.9084425498085621e-10,3156236270.402483,1.8629243346444947e-09,63234936.862596154,9.2968126255724e-10,263636366.50018406
2.498976247659857e-10,799724486.8318522,1.9181270094900562e-10,2912897605.7097473,1.88081818058781e-09,68790491.28977406,9.387383002121924e-10,267044459.69921356
2.5180164060919196e-10,836203320.8556373,1.92781146917155e-10,2648292828.5353947,1.8987120265311256e-09,75028400.94067752,9.477953378671445e-10,263445240.0481509
2.537056564523983e-10,858289451.860842,1.9374959288530437e-10,2368249877.3619003,1.916605872474441e-09,81717070.93626964,9.56852375522097e-10,252528761.8727404
2.556096722956046e-10,865700012.1099904,1.9471803885345375e-10,2080011472.768259,1.934499718417756e-09,88602672.91335714,9.65909413177049e-10,234785045.49342918
2.5751368813881087e-10,859102995.4208444,1.9568648482160313e-10,1791694358.4503708,1.9523935643610714e-09,95254750.66519663,9.749664508320015e-10,211426208.1948551
2.594177039820172e-10,838367710.0319456,1.966549307897525e-10,1511606255.452259,1.970287410304387e-09,100874196.05819997,9.840234884869536e-10,184195909.818815
2.613217198252235e-10,801676717.478574,1.9762337675790188e-10,1247511634.9152937,1.9881812562477022e-09,104251630.46845344,9.93080526141906e-10,155103141.58450764
2.6322573566842977e-10,746083194.9905217,1.9859182272605126e-10,1005953395.9040308,2.0060751021910172e-09,103998247.53206089,1.0021375637968582e-09,126133531.09109253
2.651297515116361e-10,669514384.2062376,1.9956026869420063e-10,791732275.0544882,2.0239689481343327e-09,99019906.25653441,1.0111946014518107e-09,98994410.2757504
2.670337673548424e-10,573312401.2611759,2.0052871466235004e-10,607618133.0138369,2.041862794077648e-09,89044905.38988324,1.0202516391067627e-09,74938422.2363205
2.6893778319804867e-10,463731855.7239914,2.014971606304994e-10,454323148.17029285,2.0597566400209635e-09,74930812.10016422,1.0293086767617152e-09,54688172.563643515
2.70841799041255e-10,351146266.3870921,2.024656065986488e-10,330717800.5249262,2.0776504859642785e-09,58538747.44170727,1.0383657144166673e-09,38458839.64652151
2.727458148844613e-10,247082138.87819982,2.0343405256679814e-10,234229140.01284122,2.095544331907594e-09,42178438.8259871,1.0474227520716198e-09,26054791.374771476
2.746498307276676e-10,160618579.57864594,2.0440249853494755e-10,161336973.3539009,2.1134381778509093e-09,27876859.458334506,1.0564797897265723e-09,17005582.912804723
2.765538465708739e-10,96034390.6898135,2.0537094450309692e-10,108081076.99905586,2.1313320237942248e-09,16827454.399882823,1.0655368273815244e-09,10707513.38987869
2.784578624140802e-10,52657086.604120135,2.063393904712463e-10,70508727.36513901,2.1492258697375398e-09,9252094.476972848,1.0745938650364769e-09,6546702.911537945
2.803618782572865e-10,26516868.26077497,2.0730783643939568e-10,45019493.48032379,2.167119715680855e-09,4658885.086958766,1.083650902691429e-09,3993979.0986602902
2.822658941004928e-10,12661289.182541251,2.0827628240754505e-10,28594500.12529087,2.1850135616241706e-09,2309165.8119199276,1.0927079403463814e-09,2676449.8705667853
2.841699099436991e-10,7206713.144235492,2.0924472837569443e-10,18922599.031636238,2.202907407567486e-09,1744441.0474142432,1.1017649780013335e-09,2442662.3016279936
2.860739257869054e-10,9015747.58185184,2.102131743438438e-10,14451388.864949226,2.220801253510801e-09,3444862.8911929727,1.110822015656286e-09,3446415.4820644855
